New water pipes,House 1,Node 3,0.0
New water pipes,House 2,Node 3,0.0
New water pipes,House 3,Node 2,0.0
New water pipes,House 4,Node 2,0.0
New water pipes,House 5,Node 1,0.0
New water pipes,House 6,Node 1,0.0
New water pipes,Node 1,House 5,3385.8647797751205
New water pipes,Node 1,House 6,3400.619776680605
New water pipes,Node 1,Node 2,0.0
New water pipes,Node 2,House 3,3373.8875329755356
New water pipes,Node 2,House 4,3412.683132801163
New water pipes,Node 2,Node 1,7162.516682274005
New water pipes,Node 2,Node 3,0.0
New water pipes,Node 3,House 1,3386.62053864988
New water pipes,Node 3,House 2,3364.900731993936
New water pipes,Node 3,Node 2,14611.626818603592
New water pipes,Node 3,Node 4,0.0
New water pipes,Node 4,Node 3,21649.34783127702
New water pipes,Node 4,Water tank,0.0
New water pipes,Node 4,Water treatment,0.0
New water pipes,Water tank,Node 4,0.0
New water pipes,Water treatment,Node 4,21961.88636680233
Old water pipes,House 1,Node 3,0.0
Old water pipes,House 2,Node 3,0.0
Old water pipes,House 3,Node 2,0.0
Old water pipes,House 4,Node 2,0.0
Old water pipes,Node 2,House 3,7.238899102675159
Old water pipes,Node 2,House 4,8.991694143212941
Old water pipes,Node 2,Node 3,0.0
Old water pipes,Node 3,House 1,7.50041086403772
Old water pipes,Node 3,House 2,4.554907646653489
Old water pipes,Node 3,Node 2,93.636070693784
Old water pipes,Node 3,Node 4,0.0
Old water pipes,Node 4,Node 3,148.692643962515
Old water pipes,Node 4,Water tank,792.78655677282
Old water pipes,Node 4,Water treatment,0.0
Old water pipes,Water tank,Node 4,753.1472289337883
Old water pipes,Water treatment,Node 4,135.785368769081
